capture_id,n,pos,neg,accuracy,recall,precision,fpr,tp,fp,fn,tn,avg_score
nonvpn_rdp_capture1,12,0,12,0.8333333333333334,0.0,0.0,0.16666666666666666,0,2,0,10,0.16894716024398804
nonvpn_rdp_capture_5,20,0,20,0.85,0.0,0.0,0.15,0,3,0,17,0.11529853194952011
nonvpn_rsync_capture1,1796,0,1796,1.0,0.0,0.0,0.0,0,0,0,1796,2.9074026315356605e-05
nonvpn_scp_capture1,2148,0,2148,1.0,0.0,0.0,0.0,0,0,0,2148,1.2447005246940535e-05
nonvpn_sftp_capture1,124,0,124,1.0,0.0,0.0,0.0,0,0,0,124,2.396448326180689e-05
nonvpn_sftp_capture3,432,0,432,1.0,0.0,0.0,0.0,0,0,0,432,1.5087328392837662e-05
nonvpn_sftp_newcapture2,1286,0,1286,1.0,0.0,0.0,0.0,0,0,0,1286,6.625581590924412e-05
nonvpn_skype-chat_capture10,40,0,40,1.0,0.0,0.0,0.0,0,0,0,40,0.00010430485417600721
nonvpn_skype-chat_capture17,48,0,48,1.0,0.0,0.0,0.0,0,0,0,48,0.00011045396240660921
nonvpn_skype-chat_capture18,44,0,44,1.0,0.0,0.0,0.0,0,0,0,44,0.0002779909409582615
nonvpn_skype-chat_capture20,60,0,60,1.0,0.0,0.0,0.0,0,0,0,60,8.791840082267299e-05
nonvpn_skype-chat_capture27,70,0,70,1.0,0.0,0.0,0.0,0,0,0,70,9.618310286896303e-05
nonvpn_skype-chat_capture28,52,0,52,1.0,0.0,0.0,0.0,0,0,0,52,0.00011664350313367322
nonvpn_skype-chat_capture31,82,0,82,1.0,0.0,0.0,0.0,0,0,0,82,0.00018276234914083034
nonvpn_skype-chat_capture32,40,0,40,1.0,0.0,0.0,0.0,0,0,0,40,0.00011600648576859385
nonvpn_skype-chat_capture34,50,0,50,1.0,0.0,0.0,0.0,0,0,0,50,0.00010733994713518769
nonvpn_skype-chat_capture37,36,0,36,1.0,0.0,0.0,0.0,0,0,0,36,0.00011633374379016459
nonvpn_skype-chat_capture40,42,0,42,1.0,0.0,0.0,0.0,0,0,0,42,0.00011107105092378333
nonvpn_skype-chat_capture41,34,0,34,1.0,0.0,0.0,0.0,0,0,0,34,0.00014367609401233494
nonvpn_skype-chat_capture48,46,0,46,1.0,0.0,0.0,0.0,0,0,0,46,0.0002900934196077287
nonvpn_skype-chat_capture50,42,0,42,1.0,0.0,0.0,0.0,0,0,0,42,0.00012824125587940216
nonvpn_skype-chat_capture53,40,0,40,1.0,0.0,0.0,0.0,0,0,0,40,0.00012404625886119902
nonvpn_skype-chat_capture7,46,0,46,1.0,0.0,0.0,0.0,0,0,0,46,0.00614177854731679
nonvpn_skype-chat_capture8,36,0,36,1.0,0.0,0.0,0.0,0,0,0,36,0.007822588086128235
nonvpn_ssh_capture2,350,0,350,1.0,0.0,0.0,0.0,0,0,0,350,6.14160535405972e-06
nonvpn_vimeo_capture1,2434,0,2434,1.0,0.0,0.0,0.0,0,0,0,2434,8.872072794474661e-05
nonvpn_voip_capture2,211,0,211,0.985781990521327,0.0,0.0,0.014218009478672985,0,3,0,208,0.014600844122469425
